Description,Recency,Frequency,Monetary,R,F,M,RFM_score,Segment
PACK OF 12 DOLLY GIRL TISSUES,4,81,468.0,2,4,3,243,Potential products
PACK OF 12 HEARTS DESIGN TISSUES ,1,356,2542.17,1,5,4,154,Inactive product or newly launched
PACK OF 12 LONDON TISSUES ,2,392,7261.7699999999995,1,5,5,155,Inactive product or newly launched
PACK OF 12 PAISLEY PARK TISSUES ,1,97,629.4599999999999,1,4,3,143,Inactive product or newly launched
PACK OF 12 PINK PAISLEY TISSUES ,1,159,999.5999999999999,1,5,4,154,Inactive product or newly launched
PACK OF 12 PINK POLKADOT TISSUES,1,157,1129.79,1,5,4,154,Inactive product or newly launched
PACK OF 12 RED APPLE TISSUES,4,51,428.01,2,3,3,233,Potential products
PACK OF 12 RED RETROSPOT TISSUES ,1,250,2002.7299999999998,1,5,4,154,Inactive product or newly launched
PACK OF 12 SKULL TISSUES,1,176,1504.9799999999998,1,5,4,154,Inactive product or newly launched
PACK OF 12 SPACEBOY TISSUES,1,173,960.6099999999999,1,5,4,154,Inactive product or newly launched
PACK OF 12 STICKY BUNNIES,1,78,497.25000000000006,1,4,3,143,Inactive product or newly launched
PACK OF 12 SUKI TISSUES ,1,266,1995.05,1,5,4,154,Inactive product or newly launched
PACK OF 12 TRADITIONAL CRAYONS,1,321,3754.47,1,5,5,155,Inactive product or newly launched
PACK OF 12 VINTAGE CHRISTMAS TISSUE,1,117,995.4599999999999,1,4,4,144,Inactive product or newly launched
PACK OF 12 VINTAGE DOILY TISSUES,1,94,783.6899999999999,1,4,3,143,Inactive product or newly launched
PACK OF 12 VINTAGE LEAF TISSUES ,1,65,544.62,1,3,3,133,Inactive product or newly launched
PACK OF 12 WOODLAND TISSUES ,2,192,1508.87,1,5,4,154,Inactive product or newly launched
PACK OF 20 NAPKINS PANTRY DESIGN,1,554,4954.42,1,5,5,155,Inactive product or newly launched
PACK OF 20 NAPKINS RED APPLES,1,320,3326.39,1,5,5,155,Inactive product or newly launched
PACK OF 20 SKULL PAPER NAPKINS,2,208,1672.6899999999998,1,5,4,154,Inactive product or newly launched
PACK OF 20 SPACEBOY NAPKINS,1,115,1150.3799999999999,1,4,4,144,Inactive product or newly launched
PACK OF 6 BIRDY GIFT TAGS,1,331,7135.95,1,5,5,155,Inactive product or newly launched
PACK OF 6 COCKTAIL PARASOL STRAWS,4,92,958.3199999999999,2,4,4,244,Potential products
PACK OF 6 HANDBAG GIFT BOXES,4,78,1346.3999999999999,2,4,4,244,Potential products
PACK OF 6 LARGE FRUIT STRAWS ,4,116,1275.71,2,4,4,244,Potential products
PACK OF 6 PANETTONE GIFT BOXES,1,14,513.91,1,2,3,123,Inactive product or newly launched
PACK OF 6 PANNETONE GIFT BOXES,24,140,4975.03,4,4,5,445,MVP
PACK OF 6 SANDCASTLE FLAGS ASSORTED,1,156,1972.8999999999999,1,5,4,154,Inactive product or newly launched
PACK OF 6 SKULL PAPER CUPS,3,152,1254.74,2,4,4,244,Potential products
PACK OF 6 SKULL PAPER PLATES,3,149,1663.3,2,4,4,244,Potential products
PACK OF 6 SMALL FRUIT STRAWS,4,84,644.58,2,4,3,243,Potential products
PACK OF 6 SWEETIE GIFT BOXES,2,79,2496.7599999999998,1,4,4,144,Inactive product or newly launched
PACK OF 60 DINOSAUR CAKE CASES,2,543,5919.280000000001,1,5,5,155,Inactive product or newly launched
PACK OF 60 MUSHROOM CAKE CASES,1,281,2496.08,1,5,4,154,Inactive product or newly launched
PACK OF 60 PINK PAISLEY CAKE CASES,1,676,11611.0,1,5,5,155,Inactive product or newly launched
PACK OF 60 SPACEBOY CAKE CASES,2,414,4128.39,1,5,5,155,Inactive product or newly launched
PACK OF 72 RETROSPOT CAKE CASES,1,1050,16381.880000000001,1,5,5,155,Inactive product or newly launched
PACK OF 72 SKULL CAKE CASES,2,505,6855.46,1,5,5,155,Inactive product or newly launched
PACK OF SIX LED TEA LIGHTS,1,177,4808.55,1,5,5,155,Inactive product or newly launched
PACK/12 BLUE FOLKART CARDS,12,18,64.9,3,2,1,321,Inactive product or newly launched
PACK/12 XMAS FUN CARD,95,10,97.35000000000001,4,2,2,422,Inactive product or newly launched
PACKING CHARGE,3,14,105.0,2,2,2,222,Inactive product or newly launched
PADS TO MATCH ALL CUSHIONS,75,4,0.003,4,1,1,411,Inactive product or newly launched
PAINT YOUR OWN CANVAS SET,1,178,3737.2799999999997,1,5,5,155,Inactive product or newly launched
PAINT YOUR OWN EGGS IN CRATE,2,5,299.36,1,1,2,112,Inactive product or newly launched
PAINTED HEART WREATH WITH BELL,89,1,15.0,4,1,1,411,Inactive product or newly launched
PAINTED LIGHTBULB RAINBOW DESIGN,53,6,24.06,4,1,1,411,Inactive product or newly launched
PAINTED LIGHTBULB STAR+ MOON,11,15,42.54,3,2,1,321,Inactive product or newly launched
PAINTED METAL HEART WITH HOLLY BELL,25,76,687.5899999999999,4,4,3,443,Selling consistently
PAINTED METAL PEARS ASSORTED,1,358,7454.22,1,5,5,155,Inactive product or newly launched
PAINTED METAL STAR WITH HOLLY BELLS,25,76,697.61,4,4,3,443,Selling consistently
PAINTED PINK RABBIT ,2,46,269.45,1,3,2,132,Inactive product or newly launched
PAINTED SEA SHELL METAL WINDCHIME,158,8,85.31,5,2,2,522,Inactive product or newly launched
PAINTED YELLOW WOODEN DAISY,2,35,230.35,1,3,2,132,Inactive product or newly launched
PAIR BUTTERFLY HAIR CLIPS,205,3,60.0,5,1,1,511,Inactive product or newly launched
PAIR OF ENAMEL BUTTERFLY HAIRCLIP,30,8,56.95,4,2,1,421,Inactive product or newly launched
PAIR OF PINK FLOWER CLUSTER SLIDE,33,4,25.499999999999996,4,1,1,411,Inactive product or newly launched
PAIR PADDED HANGERS PINK CHECK,45,11,194.55,4,2,2,422,Inactive product or newly launched
PAISLEY PARK CARD,1,24,141.84,1,2,2,122,Inactive product or newly launched
PAISLEY PATTERN  STICKERS,15,16,88.39999999999999,3,2,2,322,Inactive product or newly launched
PALE PINK/AMETHYST STONE NECKLACE,228,2,29.849999999999998,5,1,1,511,Inactive product or newly launched
PANDA AND BUNNIES STICKER SHEET,2,57,316.2,1,3,2,132,Inactive product or newly launched
PANTRY 3 HOOK ROLLING PIN HANGER,4,51,757.5,2,3,3,233,Potential products
PANTRY APPLE CORER,2,75,601.9499999999999,1,4,3,143,Inactive product or newly launched
PANTRY CHOPPING BOARD,2,43,5695.86,1,3,5,135,Inactive product or newly launched
PANTRY HOOK BALLOON WHISK ,5,31,407.68,3,3,3,333,Potential products
PANTRY HOOK SPATULA,6,26,316.16,3,2,2,322,Inactive product or newly launched
PANTRY HOOK TEA STRAINER ,6,28,330.72,3,3,2,332,Potential products
PANTRY KITCHEN THERMOMETER ,2,22,110.0,1,2,2,122,Inactive product or newly launched
PANTRY MAGNETIC  SHOPPING LIST,1,382,4341.19,1,5,5,155,Inactive product or newly launched
PANTRY PASTRY BRUSH,1,146,1307.05,1,4,4,144,Inactive product or newly launched
PANTRY ROLLING PIN,6,197,9180.529999999999,3,5,5,355,Selling consistently
PANTRY SCRUBBING BRUSH,1,244,3656.9399999999996,1,5,5,155,Inactive product or newly launched
PANTRY WASHING UP BRUSH,1,306,5785.71,1,5,5,155,Inactive product or newly launched
PAPER BUNTING COLOURED LACE,157,171,4683.1,5,5,5,555,MVP
PAPER BUNTING PAISLEY PARK,1,28,661.7,1,3,3,133,Inactive product or newly launched
PAPER BUNTING RETROSPOT,2,572,18785.99,1,5,5,155,Inactive product or newly launched
PAPER BUNTING VINTAGE PAISLEY,5,183,3395.55,3,5,5,355,Selling consistently
PAPER BUNTING VINTAGE PARTY,1,42,1175.0,1,3,4,134,Inactive product or newly launched
PAPER BUNTING WHITE LACE,1,262,10243.400000000001,1,5,5,155,Inactive product or newly launched
PAPER CHAIN KIT 50'S CHRISTMAS ,1,1003,42584.130000000005,1,5,5,155,Inactive product or newly launched
PAPER CHAIN KIT EMPIRE,1,380,13411.550000000001,1,5,5,155,Inactive product or newly launched
PAPER CHAIN KIT LONDON,5,81,1243.99,3,4,4,344,Selling consistently
PAPER CHAIN KIT RETROSPOT,1,445,11935.310000000001,1,5,5,155,Inactive product or newly launched
PAPER CHAIN KIT SKULLS ,2,74,1415.65,1,4,4,144,Inactive product or newly launched
PAPER CHAIN KIT VINTAGE CHRISTMAS,1,706,25639.77,1,5,5,155,Inactive product or newly launched
"PAPER CRAFT , LITTLE BIRDIE",1,1,168469.6,1,1,5,115,Inactive product or newly launched
PAPER LANTERN 5 POINT SEQUIN STAR,16,22,287.5,3,2,2,322,Inactive product or newly launched
PAPER LANTERN 5 POINT STAR MOON ,10,18,439.90000000000003,3,2,3,323,Inactive product or newly launched
PAPER LANTERN 5 POINT STAR MOON 30,120,5,41.5,4,1,1,411,Inactive product or newly launched
PAPER LANTERN 5 POINT STUDDED STAR,120,4,46.0,4,1,1,411,Inactive product or newly launched
PAPER LANTERN 6 POINT SNOW STAR,96,6,107.9,4,1,2,412,Inactive product or newly launched
PAPER LANTERN 7 POINT SNOW STAR,8,25,658.35,3,2,3,323,Inactive product or newly launched
PAPER LANTERN 9 POINT DELUXE STAR,4,34,2091.55,2,3,4,234,Potential products
PAPER LANTERN 9 POINT HOLLY STAR 23,120,5,74.7,4,1,2,412,Inactive product or newly launched
PAPER LANTERN 9 POINT HOLLY STAR 40,213,3,37.5,5,1,1,511,Inactive product or newly launched
PAPER LANTERN 9 POINT HOLLY STAR L,16,16,431.25,3,2,3,323,Inactive product or newly launched
PAPER LANTERN 9 POINT HOLLY STAR S,8,20,340.3,3,2,3,323,Inactive product or newly launched
PAPER LANTERN 9 POINT SNOW STAR,1,46,1040.1000000000001,1,3,4,134,Inactive product or newly launched
PAPER LANTERN 9 POINT SNOW STAR ,1,34,1249.5,1,3,4,134,Inactive product or newly launched
PAPER POCKET TRAVELING FAN ,11,91,697.0600000000001,3,4,3,343,Selling consistently
PAPERWEIGHT CHILDHOOD MEMORIES,1,30,405.62,1,3,3,133,Inactive product or newly launched
PAPERWEIGHT HOME SWEET HOME,1,18,186.05999999999997,1,2,2,122,Inactive product or newly launched
PAPERWEIGHT KINGS CHOICE ,1,16,190.79999999999998,1,2,2,122,Inactive product or newly launched
PAPERWEIGHT SAVE THE PLANET,1,36,596.91,1,3,3,133,Inactive product or newly launched
PAPERWEIGHT VINTAGE COLLAGE,1,49,612.28,1,3,3,133,Inactive product or newly launched
PAPERWEIGHT VINTAGE PAISLEY,1,15,130.26,1,2,2,122,Inactive product or newly launched
PARISIENNE CURIO CABINET,2,183,3437.3,1,5,5,155,Inactive product or newly launched
PARISIENNE JEWELLERY DRAWER ,1,225,5399.02,1,5,5,155,Inactive product or newly launched
PARISIENNE KEY CABINET ,1,220,3673.7,1,5,5,155,Inactive product or newly launched
PARISIENNE SEWING BOX,1,125,3464.8,1,4,5,145,Inactive product or newly launched
PARLOUR CERAMIC WALL HOOK,2,72,1819.2500000000002,1,4,4,144,Inactive product or newly launched
PARTY BUNTING,1,1390,68785.23000000001,1,5,5,155,Inactive product or newly launched
PARTY CHARMS 50 PIECES,1,97,1552.6499999999999,1,4,4,144,Inactive product or newly launched
PARTY CONE CHRISTMAS DECORATION ,1,91,1260.53,1,4,4,144,Inactive product or newly launched
PARTY CONES CANDY ASSORTED,22,72,2042.69,3,4,4,344,Selling consistently
PARTY CONES CANDY DECORATION,4,8,233.27999999999997,2,2,2,222,Inactive product or newly launched
PARTY CONES CANDY TREE DECORATION,122,28,552.18,4,3,3,433,Potential products
PARTY CONES CARNIVAL ASSORTED,262,21,479.7,5,2,3,523,Inactive product or newly launched
PARTY FOOD SHOPPER BAG,164,35,373.5,5,3,3,533,Potential products
PARTY INVITES BALLOON GIRL,5,53,302.59999999999997,3,3,2,332,Potential products
PARTY INVITES DINOSAURS,4,77,487.04999999999995,2,4,3,243,Potential products
PARTY INVITES FOOTBALL,5,52,350.2,3,3,3,333,Potential products
PARTY INVITES JAZZ HEARTS,4,81,412.10999999999996,2,4,3,243,Potential products
PARTY INVITES SPACEMAN,7,61,425.0,3,3,3,333,Potential products
PARTY INVITES WOODLAND,5,89,853.2199999999999,3,4,3,343,Selling consistently
PARTY METAL SIGN ,1,378,4701.0199999999995,1,5,5,155,Inactive product or newly launched
PARTY PIZZA DISH BLUE POLKADOT,1,43,317.90999999999997,1,3,2,132,Inactive product or newly launched
PARTY PIZZA DISH GREEN POLKADOT,1,33,309.12,1,3,2,132,Inactive product or newly launched
PARTY PIZZA DISH PINK POLKADOT,1,46,372.74,1,3,3,133,Inactive product or newly launched
PARTY PIZZA DISH RED RETROSPOT,1,63,744.3399999999999,1,3,3,133,Inactive product or newly launched
PARTY TIME DESIGN FLANNEL,4,11,58.9,2,2,1,221,Inactive product or newly launched
PARTY TIME PENCIL ERASERS,2,78,265.09,1,4,2,142,Inactive product or newly launched
PASTEL BLUE PHOTO ALBUM ,234,2,14.5,5,1,1,511,Inactive product or newly launched
PASTEL COLOUR HONEYCOMB FAN,1,58,531.6899999999999,1,3,3,133,Inactive product or newly launched
PASTEL PINK PHOTO ALBUM ,236,2,3.5,5,1,1,511,Inactive product or newly launched
PEACE SMALL WOOD LETTERS,58,21,168.75,4,2,2,422,Inactive product or newly launched
PEACE WOODEN BLOCK LETTERS,1,105,1699.66,1,4,4,144,Inactive product or newly launched
PEACH KNITTED HEN ,248,8,80.85,5,2,2,522,Inactive product or newly launched
"PEARL & SHELL 42""NECKL. GREEN",240,2,43.0,5,1,1,511,Inactive product or newly launched
"PEARL & SHELL 42""NECKL. IVORY",210,1,21.5,5,1,1,511,Inactive product or newly launched
PEARL AND CHERRY QUARTZ BRACLET,199,1,7.0,5,1,1,511,Inactive product or newly launched
PEARL CRYSTAL PUMPKIN T-LIGHT HLDR,2,133,2214.87,1,4,4,144,Inactive product or newly launched
PEARLISED IVORY HEART LARGE ,3,36,651.15,2,3,3,233,Potential products
PEARLISED IVORY HEART SMALL ,4,30,266.21,2,3,2,232,Potential products
PEG BAG APPLE DESIGN,329,1,210.0,5,1,2,512,Inactive product or newly launched
PEG BAG APPLES DESIGN,2,222,3336.37,1,5,5,155,Inactive product or newly launched
PENCIL CASE LIFE IS BEAUTIFUL,1,98,1359.3500000000001,1,4,4,144,Inactive product or newly launched
PENNY FARTHING BIRTHDAY CARD,1,186,1198.45,1,5,4,154,Inactive product or newly launched
PENS ASSORTED FUNKY JEWELED ,2,84,977.89,1,4,4,144,Inactive product or newly launched
PENS ASSORTED FUNNY FACE,2,172,2313.74,1,5,4,154,Inactive product or newly launched
PENS ASSORTED SPACEBALL,4,119,1206.2,2,4,4,244,Potential products
PERIWINKLE T-LIGHT HOLDER,26,10,45.0,4,2,1,421,Inactive product or newly launched
"PET MUG, GOLDFISH",11,4,5.59,3,1,1,311,Inactive product or newly launched
PETIT TRAY CHIC,4,117,1606.7299999999998,2,4,4,244,Potential products
PHARMACIE FIRST AID TIN,4,95,3220.81,2,4,5,245,Potential products
PHOTO CLIP LINE,8,32,256.21,3,3,2,332,Potential products
PHOTO CUBE,3,172,3997.91,2,5,5,255,Potential products
PHOTO FRAME 3 CLASSIC HANGING,1,214,5357.549999999999,1,5,5,155,Inactive product or newly launched
PHOTO FRAME CORNICE,1,457,9277.28,1,5,5,155,Inactive product or newly launched
PHOTO FRAME LINEN AND LACE LARGE,5,41,771.72,3,3,3,333,Potential products
PHOTO FRAME LINEN AND LACE SMALL,3,59,644.8000000000001,2,3,3,233,Potential products
PICNIC BASKET WICKER 60 PIECES,182,2,39619.5,5,1,5,515,Inactive product or newly launched
PICNIC BASKET WICKER LARGE,33,257,10799.0,4,5,5,455,MVP
PICNIC BASKET WICKER SMALL,75,234,7728.85,4,5,5,455,MVP
PICNIC BOXES SET OF 3 RETROSPOT ,1,119,3607.3,1,4,5,145,Inactive product or newly launched
PICTURE DOMINOES,1,249,4235.59,1,5,5,155,Inactive product or newly launched
PICTURE FRAME WOOD TRIPLE PORTRAIT,1,225,6378.150000000001,1,5,5,155,Inactive product or newly launched
PIECE OF CAMO STATIONERY SET,27,31,326.56,4,3,2,432,Potential products
PIG KEYRING WITH LIGHT & SOUND ,1,42,1231.34,1,3,4,134,Inactive product or newly launched
PIG MUG IN TWO COLOUR DESIGNS,60,11,60.04,4,2,1,421,Inactive product or newly launched
PIGGY BANK RETROSPOT ,13,262,6298.37,3,5,5,355,Selling consistently
PIN CUSHION BABUSHKA BLUE,1,16,223.95000000000002,1,2,2,122,Inactive product or newly launched
PIN CUSHION BABUSHKA PINK,1,41,432.99,1,3,3,133,Inactive product or newly launched
PIN CUSHION BABUSHKA RED,3,34,576.3100000000001,2,3,3,233,Potential products
PING MICROWAVE APRON,1,73,793.5999999999999,1,4,3,143,Inactive product or newly launched
PING! MICROWAVE PLATE,1,28,246.53,1,3,2,132,Inactive product or newly launched
PINK  HEART CONFETTI IN TUBE,8,49,766.56,3,3,3,333,Potential products
PINK  HEART SHAPE LOVE BUCKET ,1,103,1686.5200000000002,1,4,4,144,Inactive product or newly launched
PINK  HONEYCOMB PAPER BALL ,206,24,607.86,5,2,3,523,Inactive product or newly launched
PINK  HONEYCOMB PAPER FAN,1,42,364.6,1,3,3,133,Inactive product or newly launched
PINK  POLKADOT CUP,4,203,2049.7,2,5,4,254,Potential products
PINK  POLKADOT PLATE ,46,131,3010.71,4,4,5,445,MVP
PINK & WHITE BREAKFAST TRAY,207,14,198.05,5,2,2,522,Inactive product or newly launched
PINK & WHITE ROSEBUD RING,25,8,58.900000000000006,4,2,1,421,Inactive product or newly launched
PINK 3 PIECE POLKADOT CUTLERY SET,274,101,5010.400000000001,5,4,5,545,MVP
PINK ACRYLIC JEWEL SNOWFLAKE,120,1,4.5600000000000005,4,1,1,411,Inactive product or newly launched
PINK AND BLACK STRING CURTAIN,19,5,82.1,3,1,2,312,Inactive product or newly launched
PINK AND WHITE CHRISTMAS TREE 120CM,6,19,465.38,3,2,3,323,Inactive product or newly launched
PINK B'FLY C/COVER W BOBBLES,257,6,65.45,5,1,1,511,Inactive product or newly launched
PINK BABY BUNTING,2,204,5415.66,1,5,5,155,Inactive product or newly launched
PINK BAROQUE FLOCK CANDLE HOLDER,371,1,11.9,5,1,1,511,Inactive product or newly launched
PINK BERTIE GLASS BEAD BAG CHARM,197,6,93.89999999999999,5,1,2,512,Inactive product or newly launched
PINK BITTY LIGHT CHAIN,1,7,89.65,1,2,2,122,Inactive product or newly launched
PINK BLUE FELT CRAFT TRINKET BOX,1,461,11619.39,1,5,5,155,Inactive product or newly launched
PINK BOUDICCA LARGE BRACELET,22,9,222.4,3,2,2,322,Inactive product or newly launched
PINK BOUDOIR T-LIGHT HOLDER,355,1,10.2,5,1,1,511,Inactive product or newly launched
PINK BREAKFAST CUP AND SAUCER ,257,7,30.45,5,2,1,521,Inactive product or newly launched
PINK BUNNY EASTER EGG BASKET,2,4,231.89999999999998,1,1,2,112,Inactive product or newly launched
PINK BUTTERFLY CUSHION COVER,201,4,33.15,5,1,1,511,Inactive product or newly launched
PINK BUTTERFLY CUSHION COVER ,239,2,59.400000000000006,5,1,1,511,Inactive product or newly launched
PINK BUTTERFLY WASHBAG,7,5,34.0,3,1,1,311,Inactive product or newly launched
PINK CANDYSTUFT ARTIFICIAL FLOWER,2,11,96.88999999999999,1,2,2,122,Inactive product or newly launched
PINK CAT BOWL,1,40,249.42000000000002,1,3,2,132,Inactive product or newly launched
PINK CAT FLORAL CUSHION COVER ,172,3,22.5,5,1,1,511,Inactive product or newly launched
PINK CHERRY BLOSSOM CUP & SAUCER,324,1,7.5,5,1,1,511,Inactive product or newly launched
PINK CHERRY LIGHTS,332,1,27.0,5,1,1,511,Inactive product or newly launched
PINK CHICK EGG WARMER + EGG CUP,51,18,162.25,4,2,2,422,Inactive product or newly launched
PINK CHRISTMAS FLOCK DROPLET ,360,1,10.0,5,1,1,511,Inactive product or newly launched
PINK CHRYSANTHEMUMS ART FLOWER,288,1,37.800000000000004,5,1,1,511,Inactive product or newly launched
PINK CLEAR GLASS CANDLE PLATE,11,4,35.0,3,1,1,311,Inactive product or newly launched
PINK CREAM FELT CRAFT TRINKET BOX ,1,541,8617.24,1,5,5,155,Inactive product or newly launched
PINK CRYSTAL GUITAR PHONE CHARM,279,1,0.85,5,1,1,511,Inactive product or newly launched
PINK CRYSTAL SKULL PHONE CHARM,1,2,2.47,1,1,1,111,Inactive product or newly launched
PINK CRYSTAL+GLASS BRACELET,212,3,39.6,5,1,1,511,Inactive product or newly launched
PINK DAISY BAG CHARM,77,1,15.299999999999999,4,1,1,411,Inactive product or newly launched
PINK DIAMANTE PEN IN GIFT BOX,1,24,365.62,1,2,3,123,Inactive product or newly launched
PINK DINER WALL CLOCK,1,98,2317.1,1,4,4,144,Inactive product or newly launched
PINK DISCO HANDBAG,5,21,176.39,3,2,2,322,Inactive product or newly launched
PINK DOG BOWL,2,53,613.24,1,3,3,133,Inactive product or newly launched
PINK DOG CANNISTER,234,4,39.3,5,1,1,511,Inactive product or newly launched
PINK DOUGHNUT TRINKET POT ,1,170,2132.7,1,5,4,154,Inactive product or newly launched
PINK DRAWER KNOB ACRYLIC EDWARDIAN,8,171,3831.72,3,5,5,355,Selling consistently
PINK EASTER HENS+FLOWER,161,1,11.25,5,1,1,511,Inactive product or newly launched
PINK ENAMEL FLOWER HAIR TIE,77,2,35.400000000000006,4,1,1,411,Inactive product or newly launched
PINK ENAMEL+GLASS HAIR COMB,69,12,413.7,4,2,3,423,Inactive product or newly launched
PINK FAIRY CAKE CHILDRENS APRON,1,397,5815.5599999999995,1,5,5,155,Inactive product or newly launched
PINK FAIRY CAKE CUSHION COVER,8,35,436.05,3,3,3,333,Potential products
PINK FEATHERS CURTAIN,74,3,50.28,4,1,1,411,Inactive product or newly launched
PINK FELT EASTER EGG BASKET,323,4,23.099999999999998,5,1,1,511,Inactive product or newly launched
PINK FELT EASTER RABBIT GARLAND,235,25,295.8,5,2,2,522,Inactive product or newly launched
PINK FELT HANGING HEART W FLOWER,111,5,45.9,4,1,1,411,Inactive product or newly launched
PINK FLOCK GLASS CANDLEHOLDER,243,5,29.68,5,1,1,511,Inactive product or newly launched
PINK FLOCK PHOTO FRAME ,220,1,15.0,5,1,1,511,Inactive product or newly launched
PINK FLOCK SUEDE CUSHION COVER ,169,2,15.0,5,1,1,511,Inactive product or newly launched
PINK FLORAL FELTCRAFT SHOULDER BAG,1,231,3979.88,1,5,5,155,Inactive product or newly launched
PINK FLOWER CROCHET FOOD COVER,8,63,727.46,3,3,3,333,Potential products
PINK FLOWER FABRIC PONY,2,26,266.25,1,2,2,122,Inactive product or newly launched
PINK FLOWERS RABBIT EASTER,34,5,48.95,4,1,1,411,Inactive product or newly launched
PINK FLUFFY CHRISTMAS DECORATION,358,1,4.5600000000000005,5,1,1,511,Inactive product or newly launched
